"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001135.5,2126,2566,,plus,850287,
NC_001135.5,2824,3750,,plus,850288,
NC_001135.5,6479,8326,GEX1,minus,850289,
NC_001135.5,9706,11082,VBA3,plus,850290,
NC_001135.5,11503,12285,,minus,850291,
NC_001135.5,12386,13018,HMLALPHA2,minus,850292,
NC_001135.5,13282,13809,HMLALPHA1,plus,850293,
NC_001135.5,15798,16880,CHA1,minus,850295,
NC_001135.5,17290,18561,VAC17,plus,850296,
NC_001135.5,18816,22106,MRC1,minus,850297,
NC_001135.5,22429,23379,KRR1,minus,850298,
NC_001135.5,23523,23981,FYV5,minus,850299,
NC_001135.5,23584,23925,ADF1,plus,3289591,
NC_001135.5,24032,24325,MIC10,minus,850300,
NC_001135.5,24768,26906,PRD1,plus,850301,
NC_001135.5,26925,27359,PEX34,minus,850302,
NC_001135.5,27929,28936,KAR4,plus,850303,
NC_001135.5,30910,30996,RDT1,plus,23547378,
NC_001135.5,31449,33974,SPB1,plus,850304,
NC_001135.5,34143,35393,PBN1,minus,850305,
NC_001135.5,35865,37616,LRE1,plus,850306,
NC_001135.5,37836,38801,APA1,minus,850307,
NC_001135.5,39786,40724,,minus,850308,
NC_001135.5,41488,41727,,plus,3799968,
NC_001135.5,42165,43556,SPS22,plus,850309,
NC_001135.5,43661,44437,POF1,minus,850310,
NC_001135.5,44623,46905,EMC1,minus,850312,
NC_001135.5,47111,48364,MGR1,minus,850313,
NC_001135.5,48653,50221,PDI1,minus,850314,
NC_001135.5,50584,50943,,plus,850315,
NC_001135.5,50838,52340,GLK1,plus,850317,
NC_001135.5,52645,54882,GID7,plus,850318,
NC_001135.5,54941,56527,ATG22,minus,850319,
NC_001135.5,57374,58678,SRO9,minus,850320,
NC_001135.5,59026,60726,GFD2,plus,850321,
NC_001135.5,60841,61173,GRX1,minus,850322,
NC_001135.5,61658,62722,LSB5,plus,850323,
NC_001135.5,62776,63282,MXR2,minus,850324,
NC_001135.5,63441,64481,STE50,plus,850325,
NC_001135.5,64675,65568,RRP7,minus,850326,
NC_001135.5,65934,68333,HIS4,minus,850327,
NC_001135.5,68599,69921,BIK1,minus,850328,
NC_001135.5,70150,71367,RNQ1,plus,850329,
NC_001135.5,71803,73341,FUS1,plus,850330,
NC_001135.5,73405,73986,HBN1,minus,850331,
NC_001135.5,74704,75285,FRM2,minus,850332,
NC_001135.5,76018,77919,AGP1,minus,850333,
NC_001135.5,79162,82275,KCC4,plus,850334,
NC_001135.5,82462,82533,,minus,850337,
NC_001135.5,83620,83997,,plus,850338,
NC_001135.5,85102,90415,,plus,850340,
NC_001135.5,85102,86418,,plus,850339,
