"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001140.6,445,3311,,minus,856335,
NC_001140.6,3726,4541,,minus,856336,
NC_001140.6,5663,5797,,minus,1466524,
NC_001140.6,6401,7546,COS8,plus,856337,
NC_001140.6,8351,10213,ARN2,minus,856338,
NC_001140.6,11923,12285,PAU13,minus,856339,
NC_001140.6,13565,14272,,plus,856341,
NC_001140.6,14901,15413,ECM34,plus,856342,
NC_001140.6,15667,16119,,plus,856343,
NC_001140.6,17392,17841,,plus,856344,
NC_001140.6,19088,20971,ARN1,minus,856345,
NC_001140.6,21783,23540,EFM1,plus,856346,
NC_001140.6,23617,25509,CBP2,minus,856347,
NC_001140.6,25778,26179,,minus,856348,
NC_001140.6,26241,27881,MUP3,plus,856349,
NC_001140.6,27978,32756,VMR1,minus,856350,
NC_001140.6,33193,34077,SBP1,minus,856351,
NC_001140.6,35255,36025,RPL8A,minus,856352,
NC_001140.6,36379,38508,GUT1,minus,856353,
NC_001140.6,38815,39486,GOS1,minus,856354,
NC_001140.6,40084,45690,ECM29,plus,856355,
NC_001140.6,45929,47968,OCA5,minus,856356,
NC_001140.6,48763,50580,WSC4,plus,856357,
NC_001140.6,51111,52988,RIM101,plus,856358,
NC_001140.6,53219,54166,,minus,856359,
NC_001140.6,54851,55849,SNF6,plus,856360,
NC_001140.6,56649,58790,RIM4,plus,856361,
NC_001140.6,59123,62563,NPR3,minus,856362,
NC_001140.6,62755,62826,,plus,856363,
NC_001140.6,62961,64157,SPO11,minus,856364,
NC_001140.6,64462,65859,AIM17,minus,856365,
NC_001140.6,66242,67456,OPI1,minus,856366,
NC_001140.6,67731,69548,APM2,minus,856367,
NC_001140.6,69708,70070,MCO14,plus,856368,
NC_001140.6,70276,71874,,plus,856369,
NC_001140.6,72037,74244,DUR3,minus,856370,
NC_001140.6,74699,74782,,plus,1466525,
NC_001140.6,75412,75777,RPS20,plus,856371,
NC_001140.6,76097,77314,YLF2,minus,856372,
