"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001136.10,1802,2953,COS7,plus,851348,
NC_001136.10,5985,7814,MPH2,plus,851350,
NC_001136.10,8683,9756,SOR2,minus,851351,
NC_001136.10,11657,13360,HXT15,minus,851352,
NC_001136.10,16204,17226,THI13,plus,851353,
NC_001136.10,17577,18566,AAD4,minus,851354,
NC_001136.10,18959,19312,,plus,851355,
NC_001136.10,20635,21006,,plus,851356,
NC_001136.10,22823,25876,LRG1,plus,851358,
NC_001136.10,26403,28775,ADY3,minus,851359,
NC_001136.10,28985,30454,GUD1,minus,851360,
NC_001136.10,30657,31829,AIM6,plus,851361,
NC_001136.10,32296,33234,PHO13,plus,851362,
NC_001136.10,33415,33918,YPD1,minus,851363,
NC_001136.10,34237,36477,GYP7,minus,851364,
NC_001136.10,36797,38173,MFG1,plus,851365,
NC_001136.10,38487,38597,OST4,plus,851366,
NC_001136.10,38867,42244,BRE4,minus,851367,
NC_001136.10,42700,43707,PTP1,plus,851368,
NC_001136.10,44065,45906,SSB1,plus,851369,
NC_001136.10,46271,48031,HO,minus,851371,
NC_001136.10,51115,52173,GCS1,minus,851372,
NC_001136.10,52445,54100,SHS1,plus,851373,
NC_001136.10,54397,56346,WHI4,minus,851302,
NC_001136.10,57265,60405,HBT1,minus,851303,
NC_001136.10,60872,61801,FMP45,minus,851304,
NC_001136.10,62244,65018,CDC13,minus,851306,
NC_001136.10,65242,65765,DTD1,plus,851307,
NC_001136.10,66493,67446,,plus,851308,
NC_001136.10,67983,68606,TIM22,minus,851309,
NC_001136.10,68997,70319,RRI1,minus,851310,
NC_001136.10,70640,73918,GDH2,minus,851311,
NC_001136.10,74446,76545,PRR2,minus,851312,
NC_001136.10,77289,77966,NOP6,minus,851313,
NC_001136.10,78426,79058,SHR3,plus,851314,
NC_001136.10,79294,80412,,minus,851315,
NC_001136.10,83548,83618,,plus,851316,
NC_001136.10,84270,85985,UGA4,plus,851317,
NC_001136.10,86207,87226,CWC2,minus,851318,
