"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001145.3,461,4684,,minus,854906,
NC_001145.3,7244,8383,COS3,plus,854907,
NC_001145.3,10198,11295,,plus,854908,
NC_001145.3,11483,13174,ERO1,minus,854909,
NC_001145.3,14541,14753,COX14,minus,854910,
NC_001145.3,15135,16676,MSC1,minus,854911,
NC_001145.3,17064,18809,RSC9,plus,854912,
NC_001145.3,19060,20535,ERG13,minus,854913,
NC_001145.3,20761,21699,PGA3,minus,854914,
NC_001145.3,22048,23683,TUB3,minus,854915,
NC_001145.3,24037,25800,PHO84,minus,854916,
NC_001145.3,26038,26418,,minus,854917,
NC_001145.3,26930,27862,GTR1,plus,854918,
NC_001145.3,28266,29807,NDI1,minus,854919,
NC_001145.3,30611,31684,,plus,854920,
NC_001145.3,32334,33851,NGL3,plus,854921,
NC_001145.3,34243,37647,NAB6,plus,854922,
NC_001145.3,38196,39824,ATR1,plus,854924,
NC_001145.3,40187,41794,VAN1,minus,854925,
NC_001145.3,42043,43575,TAF8,minus,854926,
NC_001145.3,44045,44791,DAT1,plus,854927,
NC_001145.3,45063,45953,CTK3,plus,854928,
NC_001145.3,46942,49704,BUL2,plus,854929,
NC_001145.3,50031,50954,COQ5,minus,854930,
NC_001145.3,51640,54468,ZDS2,plus,854931,
NC_001145.3,54793,55110,,plus,854863,
NC_001145.3,55265,56269,PML39,minus,854864,
NC_001145.3,56773,57453,URA5,plus,854865,
NC_001145.3,57866,58687,SEC65,minus,854866,
NC_001145.3,58939,62322,MDM1,minus,854867,
NC_001145.3,62582,67549,NUP188,minus,854868,
NC_001145.3,67768,67938,,minus,9164957,
NC_001145.3,68294,69700,CAC2,plus,854869,
NC_001145.3,69735,70088,CUE4,minus,854871,
NC_001145.3,70138,70311,,plus,1466496,
NC_001145.3,70624,73920,TSL1,plus,854872,
NC_001145.3,74398,77040,ARG81,minus,854874,
NC_001145.3,77267,77770,TAF13,plus,854875,
NC_001145.3,78335,79690,VPS9,minus,854876,
NC_001145.3,79909,81486,,plus,854877,
NC_001145.3,81481,82113,RAD10,minus,854878,
NC_001145.3,82275,82849,GIM5,plus,854879,
NC_001145.3,83090,85789,UTP14,plus,854881,
NC_001145.3,85987,86739,PRE8,minus,854882,
NC_001145.3,87123,90731,RPM2,minus,854883,
NC_001145.3,91970,92027,,plus,23547382,
NC_001145.3,92235,94241,UFO1,plus,854886,
NC_001145.3,94431,95369,AIM33,minus,854887,
NC_001145.3,95791,97371,ALO1,minus,854888,
NC_001145.3,97941,99400,TUB1,minus,854889,
NC_001145.3,99794,101050,,minus,854891,
NC_001145.3,101862,103811,,plus,854892,
NC_001145.3,103983,104162,ATP18,minus,854893,
NC_001145.3,104777,108532,TDA9,plus,854894,
NC_001145.3,108806,110077,DUS1,plus,854895,
NC_001145.3,110247,110852,,plus,854896,
NC_001145.3,111002,111550,CPR3,plus,854897,
NC_001145.3,111865,112344,BET5,plus,854898,
NC_001145.3,112513,115347,WAR1,minus,854899,
NC_001145.3,115734,118898,HMG1,minus,854900,
NC_001145.3,120089,121324,FPR3,minus,854901,
NC_001145.3,123227,124172,RPL6A,minus,854902,
NC_001145.3,124730,129367,TCB3,minus,854903,
NC_001145.3,129749,131572,COG8,minus,854904,
NC_001145.3,131825,131896,,minus,854905,
NC_001145.3,133475,135229,DAK1,plus,854932,
NC_001145.3,135500,137158,POB3,plus,854933,
NC_001145.3,137550,138944,ITT1,plus,854934,
NC_001145.3,139063,140214,ERV41,minus,854935,
NC_001145.3,140424,141533,SMA2,minus,854936,
NC_001145.3,142210,144954,ORC1,plus,854937,
NC_001145.3,145139,145876,TEM1,minus,854938,
NC_001145.3,146482,147249,RPS1B,plus,854939,
NC_001145.3,147505,148683,MFT1,minus,854940,
NC_001145.3,148953,151532,PIF1,minus,854941,
NC_001145.3,151871,153001,OGG1,plus,854942,
NC_001145.3,153219,158258,NTE1,minus,854943,
NC_001145.3,158760,158966,HUG1,plus,854944,
NC_001145.3,159383,159697,SML1,plus,854945,
NC_001145.3,160180,161994,CMP2,plus,854946,
NC_001145.3,162194,164176,IMD4,minus,854948,
NC_001145.3,163535,163620,,minus,9164960,
NC_001145.3,164790,165326,SPC2,plus,854949,
NC_001145.3,165533,167308,CYB2,minus,854950,
NC_001145.3,167623,167781,,minus,1466497,
NC_001145.3,168795,168883,SUP5,plus,854951,
NC_001145.3,169116,169754,,minus,854952,
NC_001145.3,170402,171310,SUR7,plus,854953,
NC_001145.3,171594,172901,GAL80,plus,854954,
NC_001145.3,173139,174074,AIM32,plus,854955,
NC_001145.3,174220,178305,RSE1,minus,854956,
NC_001145.3,178426,179637,GSF2,plus,854957,
NC_001145.3,180017,181075,PRM6,minus,854959,
NC_001145.3,181474,183363,PRP39,plus,854960,
NC_001145.3,183898,183968,,minus,854961,
NC_001145.3,184461,189729,,plus,854963,
NC_001145.3,184461,185783,,plus,854962,
NC_001145.3,190244,191767,RRN11,minus,854964,
NC_001145.3,192788,194800,CAT2,plus,854965,
NC_001145.3,194913,195755,VPS71,minus,854966,
NC_001145.3,196068,196170,SUF7,minus,854967,
NC_001145.3,196628,201896,,plus,854969,
NC_001145.3,196628,197950,,plus,854968,
NC_001145.3,202775,204103,YMD8,minus,854970,
NC_001145.3,204386,205408,,minus,854971,
NC_001145.3,205642,206293,CGI121,plus,854972,
NC_001145.3,206428,208860,AMD1,minus,854973,
NC_001145.3,209525,212155,SRC1,plus,854974,
NC_001145.3,212515,213930,RAD52,minus,854976,
NC_001145.3,214189,216156,NDC1,plus,854977,
NC_001145.3,216435,216914,RCF1,plus,854978,
NC_001145.3,217362,219878,USA1,plus,854979,
NC_001145.3,220138,220728,TSA1,plus,854980,
NC_001145.3,221406,222563,YOX1,plus,854981,
NC_001145.3,222987,223828,RPS18B,minus,854982,
NC_001145.3,224406,225365,YML6,minus,854983,
NC_001145.3,225889,226697,RPS17A,plus,854984,
NC_001145.3,226994,228664,NSE5,minus,854985,
NC_001145.3,228937,229500,APT1,plus,854986,
NC_001145.3,229734,230813,UNG1,minus,854987,
NC_001145.3,231149,233143,,plus,854988,
NC_001145.3,233457,234455,OST6,plus,854989,
NC_001145.3,234771,235952,,minus,854990,
NC_001145.3,236588,238731,PSP2,plus,854991,
NC_001145.3,239458,241536,PPZ1,minus,854992,
NC_001145.3,241989,243029,TAF11,minus,854993,
