"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001134.8,280,2658,,minus,852159,
NC_001134.8,2582,2899,,minus,852160,
NC_001134.8,2907,5009,,minus,852161,
NC_001134.8,7605,7733,PAU9,minus,852163,
NC_001134.8,9583,9666,,plus,852166,
NC_001134.8,9961,10551,MIX23,minus,852167,
NC_001134.8,10847,13879,SRO77,minus,852168,
NC_001134.8,14241,17696,PKC1,minus,852169,
NC_001134.8,18177,21293,SEA4,minus,852170,
NC_001134.8,22076,23536,RTG3,minus,852171,
NC_001134.8,24098,24745,SFT2,plus,852172,
NC_001134.8,24946,28299,ECM21,minus,852173,
NC_001134.8,28427,28546,,plus,1466439,
NC_001134.8,29935,35248,,plus,852175,
NC_001134.8,29935,31251,,plus,852174,
NC_001134.8,36398,36488,,plus,852176,
NC_001134.8,37053,38690,ATP1,plus,852177,
NC_001134.8,39145,40527,BNA4,plus,852179,
NC_001134.8,40831,43095,BRN1,plus,852180,
NC_001134.8,43277,44089,MRX3,plus,852181,
NC_001134.8,44256,44918,ROX3,minus,852184,
NC_001134.8,45978,46370,RPL32,plus,852185,
NC_001134.8,46565,47180,SCS22,minus,852186,
NC_001134.8,47363,48628,MAP2,minus,852187,
NC_001134.8,48825,49358,MRP21,plus,852188,
NC_001134.8,49574,50953,AVT5,plus,852189,
NC_001134.8,51019,59382,TEL1,minus,852190,
NC_001134.8,59822,60739,RPL23A,minus,852191,
NC_001134.8,61202,62602,,minus,852192,
NC_001134.8,63876,66818,BOI1,plus,852193,
NC_001134.8,67169,69445,CDC27,minus,852194,
NC_001134.8,69751,71127,ALG3,minus,852196,
NC_001134.8,71866,72972,,plus,852197,
NC_001134.8,73070,74695,PET112,minus,852198,
NC_001134.8,75259,79767,NUP170,plus,852199,
NC_001134.8,80378,80731,ATG8,minus,852200,
NC_001134.8,81043,84261,ILS1,minus,852202,
NC_001134.8,84499,86448,SSA3,minus,852203,
NC_001134.8,86722,87789,AAR2,minus,852205,
NC_001134.8,88190,88277,,plus,9164868,
NC_001134.8,88523,89125,RPS8A,minus,852206,
NC_001134.8,89458,89556,,minus,1466440,
NC_001134.8,89978,90226,KTI11,plus,852207,
NC_001134.8,90223,90531,,minus,852208,
NC_001134.8,90741,92030,AST1,plus,852209,
NC_001134.8,92414,93394,PRS4,plus,852211,
NC_001134.8,93639,95882,UBP13,minus,852212,
NC_001134.8,96669,100115,SEF1,minus,852214,
NC_001134.8,100371,101156,PRX1,minus,852215,
NC_001134.8,101886,105221,KIP1,plus,852216,
NC_001134.8,105316,107406,SKT5,minus,852218,
NC_001134.8,107932,109995,YEL1,plus,852219,
NC_001134.8,110125,110539,CMC2,minus,852220,
NC_001134.8,110594,111244,IAI11,plus,852221,
NC_001134.8,111437,112708,SHP1,plus,852222,
NC_001134.8,112801,113427,PTH2,minus,852223,
NC_001134.8,113762,115168,PTC3,plus,852224,
NC_001134.8,115573,116829,,minus,852225,
NC_001134.8,117589,119166,TOD6,plus,852226,
NC_001134.8,119379,121874,SAS3,minus,852228,
NC_001134.8,122753,124759,PIN4,minus,852229,
NC_001134.8,125125,126119,SEC17,plus,852230,
NC_001134.8,126828,127244,MOH1,plus,852231,
NC_001134.8,127299,127610,RRT1,plus,852232,
NC_001134.8,127895,132040,EDE1,minus,852233,
NC_001134.8,132424,133749,PSY4,plus,852234,
NC_001134.8,134143,135516,COR1,minus,852235,
NC_001134.8,135998,136366,,plus,852236,
NC_001134.8,136688,137461,ECM13,plus,852237,
NC_001134.8,138341,140260,FUI1,minus,852238,
NC_001134.8,141247,141972,PRE7,plus,852239,
NC_001134.8,142112,142868,ERD2,minus,852240,
NC_001134.8,143393,143572,MIN6,plus,1466441,
NC_001134.8,143989,145728,URA7,minus,852241,
NC_001134.8,146187,146885,MRPL16,plus,852242,
NC_001134.8,147209,150286,APL3,plus,852243,
NC_001134.8,150447,151220,,minus,852244,
