"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001148.4,280,6007,YRF1-7,minus,855846,
NC_001148.4,7933,8427,PAU22,minus,855847,
NC_001148.4,9557,10870,ERR2,minus,855848,
NC_001148.4,11887,12600,HSP32,plus,855849,
NC_001148.4,13228,14355,FEX2,minus,855850,
NC_001148.4,15053,15355,,minus,855851,
NC_001148.4,15405,16868,,minus,855852,
NC_001148.4,17948,18385,,plus,2827705,
NC_001148.4,18369,19079,FDH2,plus,855853,
NC_001148.4,22938,24701,SAM3,plus,855854,
NC_001148.4,25087,26064,SAM4,plus,855855,
NC_001148.4,26611,28164,PBI1,minus,855856,
NC_001148.4,30079,30267,ATP15,plus,855857,
NC_001148.4,30482,32803,MDL2,plus,855858,
NC_001148.4,33013,34947,KAR9,plus,855859,
NC_001148.4,35236,37845,PLC1,plus,855860,
NC_001148.4,38169,38798,ACM1,plus,855861,
NC_001148.4,39121,40077,DIM1,plus,855862,
NC_001148.4,41043,42869,DIP5,plus,855863,
NC_001148.4,43283,44344,,minus,855864,
NC_001148.4,44551,46506,KEL3,minus,855865,
NC_001148.4,47336,48802,FUM1,plus,855866,
NC_001148.4,48996,49304,,minus,855868,
NC_001148.4,49303,50958,CUB1,plus,855867,
NC_001148.4,51244,52671,APM1,minus,855869,
NC_001148.4,53498,55153,THI21,minus,855870,
NC_001148.4,56169,56274,,minus,855815,
NC_001148.4,56748,62016,,plus,855817,
NC_001148.4,56748,58070,,plus,855816,
NC_001148.4,63279,63860,,plus,855818,
NC_001148.4,64977,66614,CLN2,minus,855819,
NC_001148.4,67725,68882,BBP1,plus,855820,
NC_001148.4,69485,70951,HFI1,plus,855821,
NC_001148.4,71063,73006,VIK1,minus,855822,
NC_001148.4,73363,73881,YAH1,minus,855824,
NC_001148.4,74309,74719,ATG41,minus,855825,
NC_001148.4,75699,76239,RPL36B,minus,855826,
NC_001148.4,76669,79353,GYP5,minus,855827,
NC_001148.4,79711,82356,GAL4,minus,855828,
NC_001148.4,82625,84196,,minus,855829,
NC_001148.4,84509,85297,RBD2,minus,855830,
NC_001148.4,85586,86950,,plus,855831,
NC_001148.4,87014,88033,HUT1,minus,855832,
NC_001148.4,88517,90316,SRP68,plus,855833,
NC_001148.4,90622,95109,IQG1,minus,855834,
NC_001148.4,95372,96258,CIN2,minus,855835,
NC_001148.4,96496,98625,HSP82,minus,855836,
NC_001148.4,99484,100086,YAR1,plus,855837,
NC_001148.4,100496,101353,SUI3,plus,855838,
NC_001148.4,101608,102702,ENV7,minus,855840,
NC_001148.4,103232,104647,RVB2,plus,855841,
NC_001148.4,104946,105440,VMA11,minus,855842,
NC_001148.4,106172,106822,NSL1,plus,855843,
NC_001148.4,107275,108147,SSO1,plus,855844,
NC_001148.4,108652,114315,FAS2,plus,855845,
NC_001148.4,115312,116487,USV1,plus,855871,
NC_001148.4,117067,117687,,plus,855872,
NC_001148.4,118382,120031,CET1,plus,855873,
NC_001148.4,120163,121167,ALG5,minus,855874,
