"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001139.9,2790,3932,COS12,plus,852628,
NC_001139.9,5312,5839,,plus,852629,
NC_001139.9,6290,6652,PAU11,minus,852630,
NC_001139.9,6860,7090,,plus,852631,
NC_001139.9,8470,8967,YPS5,plus,852632,
NC_001139.9,9162,9395,,plus,852633,
NC_001139.9,11110,11730,VEL1,plus,852634,
NC_001139.9,12481,14157,MNT2,minus,852635,
NC_001139.9,15159,16307,ADH4,plus,852636,
NC_001139.9,20978,22108,ZRT1,plus,852637,
NC_001139.9,22304,23203,FZF1,plus,852638,
NC_001139.9,23935,25395,HXK2,plus,852639,
NC_001139.9,25718,27484,RTG2,minus,852640,
NC_001139.9,27921,31636,HFM1,minus,852641,
NC_001139.9,31910,32635,RMR1,plus,852642,
NC_001139.9,33098,35212,ZIP2,plus,852643,
NC_001139.9,33109,35013,,minus,23547379,
NC_001139.9,35653,36762,PDE1,plus,852644,
NC_001139.9,36933,37526,BRR6,plus,852645,
NC_001139.9,37617,38780,RAI1,minus,852646,
NC_001139.9,39023,41149,GUS1,plus,852606,
NC_001139.9,41498,43174,RTF1,plus,852607,
NC_001139.9,43307,44509,TAD1,plus,852608,
NC_001139.9,44652,45197,,minus,852609,
NC_001139.9,45445,48459,KAP114,plus,852610,
NC_001139.9,48613,49365,DOC1,plus,852611,
NC_001139.9,49552,52434,CSE1,plus,852612,
NC_001139.9,52731,53528,HAP2,minus,852614,
NC_001139.9,53787,55796,MTO1,minus,852616,
NC_001139.9,55279,55815,,plus,852615,
NC_001139.9,56482,58890,"ADE5,7",plus,852617,
NC_001139.9,59122,61854,SEC15,plus,852618,
NC_001139.9,62075,63002,TAN1,plus,852619,
NC_001139.9,63048,63620,EMC4,minus,852620,
NC_001139.9,63772,64215,,minus,852621,
NC_001139.9,64503,66959,SAP4,minus,852622,
NC_001139.9,67598,69331,SHE10,plus,852623,
NC_001139.9,69671,72547,VID30,plus,852624,
NC_001139.9,72749,73158,OST5,minus,852625,
NC_001139.9,73340,73711,MTC3,plus,852626,
NC_001139.9,73829,73902,,minus,852627,
NC_001139.9,76894,77907,VRG4,plus,852647,
NC_001139.9,78015,78857,SDT1,minus,852648,
NC_001139.9,79112,80365,COG1,minus,852649,
NC_001139.9,80659,81186,EDC1,minus,852650,
NC_001139.9,81426,82292,NIF3,minus,852651,
NC_001139.9,82374,82736,BOL2,plus,852652,
NC_001139.9,82878,84257,MDM34,minus,852654,
NC_001139.9,84885,87302,KIP3,plus,852655,
NC_001139.9,87981,89339,CLG1,plus,852657,
