"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001146.8,371,6098,YRF1-6,minus,855377,
NC_001146.8,8330,9475,COS1,plus,855380,
NC_001146.8,11452,12129,DDI3,plus,855381,
NC_001146.8,12208,12876,SNO2,minus,855382,
NC_001146.8,13267,14163,SNZ2,plus,855383,
NC_001146.8,14832,15854,THI12,plus,855384,
NC_001146.8,16118,17248,AAD14,minus,855385,
NC_001146.8,18001,19302,RPD3,minus,855386,
NC_001146.8,19541,22633,PEX6,minus,855387,
NC_001146.8,22834,23274,MDJ2,minus,855388,
NC_001146.8,24048,27173,EGT2,plus,855389,
NC_001146.8,27337,28347,PFA3,minus,855390,
NC_001146.8,28739,31378,FIG4,minus,855392,
NC_001146.8,31944,33188,LEM3,plus,855393,
NC_001146.8,33294,34235,KRE1,minus,855394,
NC_001146.8,34696,37422,VNX1,plus,855395,
NC_001146.8,37700,38554,,plus,855396,
NC_001146.8,38707,40329,HXT14,minus,855398,
NC_001146.8,40619,42016,PFS2,plus,855399,
NC_001146.8,42071,43075,PHA2,minus,855400,
NC_001146.8,43324,44280,ATP11,minus,855401,
NC_001146.8,44447,45214,DAL82,plus,855402,
NC_001146.8,45308,48022,EMW1,minus,855403,
NC_001146.8,48287,49216,RFA2,plus,855404,
NC_001146.8,49397,51688,SKP2,minus,855405,
NC_001146.8,51907,52431,ZIM17,minus,855406,
NC_001146.8,52662,53924,STB1,plus,855407,
NC_001146.8,54122,55897,KRI1,minus,855408,
NC_001146.8,56446,57573,MCK1,minus,855409,
NC_001146.8,58155,58808,MRPS18,plus,855410,
NC_001146.8,58898,59791,BXI1,minus,855411,
NC_001146.8,60297,61550,YPT11,plus,855412,
NC_001146.8,61958,62943,RPS19B,minus,855414,
NC_001146.8,63570,64562,RPL18B,minus,855415,
NC_001146.8,65744,66052,TOS6,plus,855416,
NC_001146.8,66517,68445,TRF5,plus,855417,
NC_001146.8,68915,71443,CLA4,plus,855418,
NC_001146.8,71673,76583,MON2,minus,855420,
NC_001146.8,76946,78520,MRX6,plus,855421,
NC_001146.8,78659,80260,RIM21,minus,855422,
NC_001146.8,80640,82541,MSB3,plus,855423,
NC_001146.8,82806,84017,PUS4,plus,855424,
NC_001146.8,84169,85815,MID1,minus,855425,
NC_001146.8,86218,87240,RFC3,plus,855426,
NC_001146.8,87897,88736,PCL1,plus,855427,
NC_001146.8,89210,89306,,plus,9164969,
NC_001146.8,90303,91424,CAF40,plus,855428,
NC_001146.8,91994,94801,SEC21,plus,855429,
NC_001146.8,95223,96080,CUS2,plus,855430,
NC_001146.8,96241,96312,SUF6,minus,855432,
NC_001146.8,96964,102232,,minus,855433,
NC_001146.8,100910,102232,,minus,855434,
NC_001146.8,102716,102789,,plus,855435,
