"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001142.9,466,6130,,minus,853231,
NC_001142.9,8776,9138,PAU1,minus,853232,
NC_001142.9,11475,16124,VTH2,plus,853233,
NC_001142.9,16767,18536,IMA4,minus,853235,
NC_001142.9,19497,21200,HXT9,plus,853236,
NC_001142.9,21973,22563,,plus,853237,
NC_001142.9,23133,23729,REE1,plus,853238,
NC_001142.9,24341,26086,IMA5,minus,853214,
NC_001142.9,26887,28596,HXT8,plus,853216,
NC_001142.9,32163,33158,,plus,853217,
NC_001142.9,33850,36249,OPT1,minus,853218,
NC_001142.9,36919,37734,PEX2,plus,853219,
NC_001142.9,38005,39969,CBP1,plus,853221,
NC_001142.9,40194,41183,NUC1,minus,853222,
NC_001142.9,41389,47433,LAA1,minus,853223,
NC_001142.9,47659,49935,,minus,853224,
NC_001142.9,50139,50443,NCE101,minus,853225,
NC_001142.9,50629,53151,RCY1,minus,853226,
NC_001142.9,53341,54183,PRP21,plus,853227,
NC_001142.9,54379,56178,ECM25,plus,853229,
NC_001142.9,56444,58813,ACO2,minus,853230,
NC_001142.9,59100,59172,,minus,853239,
NC_001142.9,59856,60182,MBB1,minus,853240,
NC_001142.9,60844,63489,PHO90,plus,853241,
NC_001142.9,63805,67569,UBP12,plus,853242,
NC_001142.9,67850,68782,ELO1,minus,853243,
NC_001142.9,69338,70879,CDC6,plus,853244,
NC_001142.9,71366,72574,,plus,853246,
NC_001142.9,72710,73414,SOP4,minus,853247,
NC_001142.9,73787,74611,RPS14B,plus,853248,
NC_001142.9,74910,75302,RPS22A,minus,853249,
NC_001142.9,75933,76474,RPL39,plus,853250,
NC_001142.9,76803,79262,SWE1,minus,853252,
NC_001142.9,80155,81915,MNN5,plus,853253,
NC_001142.9,82095,82976,ATG36,minus,853254,
NC_001142.9,83448,83819,GON7,plus,853255,
NC_001142.9,84068,85336,MNN11,plus,853256,
NC_001142.9,85660,87495,RBH1,plus,853257,
NC_001142.9,87583,88560,ATP12,minus,853259,
NC_001142.9,88787,89116,PFD1,plus,853260,
NC_001142.9,89282,90097,ATG27,minus,853261,
NC_001142.9,90786,91657,RPL17B,plus,853262,
NC_001142.9,92053,94530,SWI3,minus,853264,
NC_001142.9,95092,95922,KRE9,plus,853265,
NC_001142.9,96161,96529,RFA3,minus,853266,
NC_001142.9,97737,99467,CPS1,plus,853267,
NC_001142.9,99704,100894,TOH1,minus,853268,
NC_001142.9,101150,101779,ASG7,minus,853269,
NC_001142.9,102227,104428,SET2,minus,853271,
NC_001142.9,105014,106072,ERG20,plus,853272,
NC_001142.9,106434,106718,QCR8,plus,853273,
NC_001142.9,106894,109461,HAL5,minus,853274,
NC_001142.9,109966,111159,TPK1,minus,853275,
NC_001142.9,111666,113333,,minus,853276,
NC_001142.9,113878,115629,JJJ2,minus,853277,
NC_001142.9,115939,116010,,minus,853278,
NC_001142.9,117245,117787,FMP33,plus,853279,
NC_001142.9,117962,118825,PIR5,minus,853280,
NC_001142.9,120449,121690,HSP150,plus,853281,
NC_001142.9,122265,122948,CIS3,minus,853282,
NC_001142.9,123836,126328,FAR1,minus,853283,
NC_001142.9,126853,128952,SSY5,minus,853285,
NC_001142.9,129285,130643,FBP26,minus,853286,
NC_001142.9,131101,133935,VPS35,minus,853287,
NC_001142.9,134332,135933,INO1,minus,853288,
NC_001142.9,136372,136773,SNA3,minus,853290,
NC_001142.9,137379,139370,DAS1,plus,853292,
NC_001142.9,139566,139691,,minus,9164909,
NC_001142.9,139761,139950,,minus,9164910,
NC_001142.9,140437,141138,RPA34,plus,853293,
NC_001142.9,141419,142567,SMT1,minus,853294,
NC_001142.9,143292,144701,IDS2,plus,853295,
NC_001142.9,145160,146044,SFH5,plus,853296,
NC_001142.9,146359,146673,ROQ1,plus,853297,
NC_001142.9,147101,147577,TIM17,plus,853298,
NC_001142.9,147967,150390,YAK1,minus,853300,
