"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001137.3,264,4097,,minus,856630,
NC_001137.3,4185,5114,,minus,856632,
NC_001137.3,4464,5114,,minus,856633,
NC_001137.3,5345,5713,,minus,856634,
NC_001137.3,7230,7553,,minus,856636,
NC_001137.3,13720,14415,RMD6,plus,856637,
NC_001137.3,16355,17845,DLD3,plus,856638,
NC_001137.3,19589,21097,DSF1,plus,856639,
NC_001137.3,21537,23231,HXT13,minus,856640,
NC_001137.3,25646,25978,,minus,856641,
NC_001137.3,26189,26776,,minus,856643,
NC_001137.3,26667,27206,HPA3,plus,856642,
NC_001137.3,27657,29543,SIT1,plus,856644,
NC_001137.3,29797,31239,AVT2,minus,856645,
NC_001137.3,31694,33466,CAN1,minus,856646,
NC_001137.3,34407,36254,NPR2,plus,856647,
NC_001137.3,36535,39537,CIN8,minus,856648,
NC_001137.3,40046,41953,PRB1,minus,856649,
NC_001137.3,42400,42624,SOM1,minus,856650,
NC_001137.3,43252,44925,PCM1,plus,856652,
NC_001137.3,45020,45721,SDD1,minus,856653,
NC_001137.3,47168,48373,HAT2,plus,856654,
NC_001137.3,48471,51539,POL5,minus,856655,
NC_001137.3,52150,52320,,minus,9164883,
NC_001137.3,52721,53218,RPL12A,minus,856656,
NC_001137.3,53901,56102,MAK10,minus,856657,
NC_001137.3,56571,58100,AFG1,plus,856658,
NC_001137.3,58378,59148,VMA8,plus,856659,
NC_001137.3,59670,60851,RML2,minus,856660,
NC_001137.3,61352,61433,,plus,9164880,
NC_001137.3,61699,61789,,plus,9164881,
NC_001137.3,61890,61960,,minus,856661,
NC_001137.3,63728,64090,PAU2,plus,856662,
NC_001137.3,64709,65167,TCA17,minus,856663,
NC_001137.3,65385,66797,FRD1,minus,856664,
NC_001137.3,67629,68792,GLY1,minus,856665,
NC_001137.3,69757,70257,IES6,plus,856667,
NC_001137.3,70478,73348,,plus,856668,
NC_001137.3,73771,75327,GDA1,plus,856669,
NC_001137.3,75944,77431,YEF1,plus,856670,
NC_001137.3,78053,79456,UTR2,plus,856671,
NC_001137.3,79636,79977,CYC7,minus,856672,
NC_001137.3,80462,81145,UTR4,plus,856673,
NC_001137.3,81407,82603,RAD23,minus,856674,
NC_001137.3,83050,84552,ANP1,minus,856675,
NC_001137.3,85045,85545,UTR5,minus,856676,
NC_001137.3,85676,86149,HYP2,plus,856677,
NC_001137.3,86179,86598,MTC7,plus,856678,
NC_001137.3,86604,86685,,plus,856679,
NC_001137.3,86937,89852,MCM3,plus,856680,
NC_001137.3,90258,93905,SPF1,plus,856681,
NC_001137.3,94644,96578,ECM10,plus,856682,
NC_001137.3,96858,97796,BUD16,minus,856683,
NC_001137.3,98668,99129,,plus,856684,
NC_001137.3,100133,100204,IMT4,plus,856685,
NC_001137.3,100769,101251,VMA3,plus,856686,
NC_001137.3,101943,102323,SNU13,plus,856687,
NC_001137.3,102581,106147,,minus,856688,
NC_001137.3,107260,107907,RIP1,plus,856689,
NC_001137.3,108504,110552,,minus,856690,
NC_001137.3,111421,115800,GEA2,plus,856691,
NC_001137.3,116167,116970,URA3,plus,856692,
NC_001137.3,117211,117474,TIM9,plus,856693,
NC_001137.3,117667,118035,,minus,9164884,
NC_001137.3,118617,120299,PXP1,minus,856694,
NC_001137.3,120498,121301,MMS21,minus,856695,
NC_001137.3,121471,122310,EAF5,plus,856696,
NC_001137.3,122798,122929,PMP2,minus,856697,
NC_001137.3,123657,124670,GTT3,plus,856698,
NC_001137.3,124737,126218,NPP2,minus,856699,
NC_001137.3,126629,128284,EDC3,plus,856700,
NC_001137.3,128303,128608,,minus,856701,
NC_001137.3,128825,130561,VAC8,plus,856702,
NC_001137.3,131082,131153,,minus,856703,
NC_001137.3,131772,132551,UBC8,plus,856704,
NC_001137.3,133120,135234,GLC3,plus,856705,
NC_001137.3,135425,135497,,minus,856706,
NC_001137.3,136371,136778,,minus,31009438,
NC_001137.3,138666,138737,,plus,856708,
NC_001137.3,138918,139763,GCN4,minus,856709,
NC_001137.3,140512,140892,,plus,856710,
NC_001137.3,141892,143892,MIT1,plus,856711,
